SKU;título; COST S/IMP ; COST C/IMP ;PVP
21;Recuperador Balsámico B5 x400;5.400,01;6.534,01;10890,00
27;Champú Recuperación P+T x280ml;4.235,86;5.125,39;8542,00
28;Ampollas P+T Estuche 12x10ml;14.385,02;17.405,87;2417,00
30;Champú P+T Caspa y Caída x200;5.406,78;6.542,21;10904,00
31;Champú y Acondic. 2en1 P+T x200;4.994,95;6.043,89;10073,00
33;Ampoll. Super Especial Est12x10;13.095,33;15.845,35;2201,00
37;Ampollas Potenc.1007 Est12x10;13.789,78;16.685,63;2317,00
41;Champú P+T p/la Seborrea x200m;4.295,28;5.197,29;8662,00
43;Ampollas 1007 Estuche 12x10cc;13.095,33;15.845,35;2201,00
44;Rocío Fijador Pant. y Silix150;3.952,23;4.782,19;7970,00
45;Rocío Fijador Pant. y Sili. x400;5.784,21;6.998,90;11665,00
58;"Nutri-Cream c/Vit. ""E"" x115gr";2.190,82;2.650,89;4418,00
73;Ampolla Jojoba Estuche 16x10ml;8.173,56;9.890,01;1030,00
80;Baño de Crema c/Jojoba x115gr;2.730,70;3.304,15;5507,00
81;Baño de Crema c/Jojoba x250gr;4.506,83;5.453,27;9089,00
89;Champú Reflejante Plata x150gr;4.943,82;5.982,02;9970,00
95;Fija+Más 30 Vol.Hierbas x 75ml;1.010,15;1.222,29;2037,00
96;Champú Tilo y Siliconas x250ml;3.116,75;3.771,27;6285,00
104;Savia c/Salvia y Fil. Solar x400;3.032,65;3.669,51;6116,00
105;Nutri-Serum Solar caja x 2x30g;5.572,13;6.742,28;11237,00
107;Pantalla Cap. c/Proteínas x150;3.621,09;4.381,52;7303,00
111;Color Vegetal Henna Tiziano;7.250,38;8.772,96;14622,00
124;Champú Omega 3y6 c/Vit. B3 x400;4.354,37;5.268,78;8781,00
125;Balsam Omega 3y6 c/Vit. B3 x200;2.919,13;3.532,15;5887,00
127;"Nutri-Serum c/Vit. ""E"" estuc. x2";6.820,48;8.252,79;13755,00
132;Champú Ácido ph,estuche 6x30g;10.573,49;12.793,92;3554,00
133;Estructurante 011 Estuche 12x10;15.136,64;18.315,34;2544,00
134;Estructurante 022 Estuche 12x10;13.789,78;16.685,63;2317,00
136;Estructurante 033 Estuche 12x10;13.789,78;16.685,63;2317,00
151;Spray Manzanilla Bifase x125ml;4.587,59;5.550,98;9252,00
155;Ampollas 1019 Estuche 12x10cc;13.095,33;15.845,35;2201,00
156;Cera de Brillo & Styling Pote;4.562,02;5.520,04;9200,00
159;Loción Fijadora Modela. Amp.8x10;9.604,29;11.621,19;2421,00
160;Loción Fijadora Modelante x120;3.020,27;3.654,53;6091,00
163;Balsam Ginkgo Biloba Finos x200;2.651,54;3.208,37;5347,00
164;Balsam Ginkgo Biloba Finos x400;4.419,24;5.347,28;8912,00
166;Activador Cremoso 8 Vol.Sachet;486,52;588,69;981,00
175;Mascarilla Glycoceramidas Pomo;2.843,93;3.441,16;5735,00
183;Ampollas 1044 Estuche 12x10cc;13.095,33;15.845,35;2201,00
184;SOS Nocturno Reg. Capilar 12x20;13.914,51;16.836,56;2338,00
186;Tratamiento Nutric. S.O.S 12x20;15.873,13;19.206,48;2668,00
187;Shampoo Nutricional S.O.Sx295;3.341,00;4.042,61;6738,00
188;Balsam Nutricional S.O.S x295;3.286,23;3.976,34;6627,00
192;Champú Anti-Age c/Magne.x255ml;3.519,17;4.258,20;7097,00
194;Balsam Anti-Age c/Magne.x255ml;2.967,78;3.591,01;5985,00
200;Baño Ultra Brillo Pomo x115gr;3.564,71;4.313,30;7189,00
205;Removedor de Liendres x120g;5.064,32;6.127,83;10213,00
208;Champú Manzana Verde x200ml;3.150,71;3.812,36;6354,00
214;B.Crem R.Mosqueta Orgánicx125g;2.827,40;3.421,15;5702,00
215;Champú Antioxidante Vita. x250;6.621,03;8.011,45;13352,00
216;Champú Antioxidante Vita.x400;10.301,91;12.465,31;20776,00
219;Champú+Acond+Gel de Niños x250m;3.724,86;4.507,08;7512,00
223;Enjuague Final c/extr de Vinagre de Manzana x200g;2.529,78;3.061,03;5102,00
229;Crema p/Peinar Teñidos x270gr;4.248,95;5.141,23;8569,00
230;Protector Térmico Atomiza.x250;4.205,96;5.089,22;8482,00
240;Estructu.055 Lino Estuche12x10;15.079,47;18.246,16;2534,00
244;Champú Seco en Aerosol x170ml;4.882,09;5.907,32;9846,00
245;Cristales Líquidos x22ml;7.723,71;9.345,69;15576,00
251;Baño p/Cab.Tratado c/Color x115;3.736,80;4.521,53;7536,00
253;Sistema Mantenimien. del color y brillo x12, 4x15g;24.900,97;30.130,17;4185,00
262;Bioxidil Trat.p/la Caída 6x10m;16.492,52;19.955,95;33260,00
263;Bioxidil Trat.p/la Caída x90ml;8.134,98;9.843,32;16406,00
270;Balsam Te Verde Green Tea  x400;4.605,74;5.572,94;9288,00
277;Champú Premium Bio-Humect.x255;5.315,84;6.432,17;10720,00
278;Balsam Premium Bio-Humect.x255;5.076,09;6.142,07;10237,00
279;Mascar.Premium Bio-Humect.x115;4.224,63;5.111,80;8520,00
280;Champú Hidratante Rulos x300ml;4.761,94;5.761,94;9603,00
286;Tratamiento Instant.Anti-Frizz;3.025,81;3.661,24;6102,00
306;Óleo de Argan-Blister Exhibidor 1x10ml;4.260,27;5.154,93;8592,00
324;Loción Tonificante Ortiga 16x10;7.524,86;9.105,09;948,00
326;Complemento de Recuperación x12;15.374,08;18.602,63;2584,00
337;Jabón Liq.Libre de Gluten x200ml;4.123,07;4.988,92;8315,00
339;Crema Evanescente Biofer x125gr;5.043,60;6.102,76;10171,00
346;Shampoo Acond. p/Caspa 1027x180;5.011,17;6.063,52;10106,00
348;Ampollas 1027 Estuche 12x10ml;13.525,29;16.365,61;2273,00
360;Champú Yerba Mate x200ml;2.951,56;3.571,39;5952,00
363;Balsam Yerba Mate x200ml;2.902,91;3.512,52;5854,00
373;Champú c/Extr.de Calafate x400;4.419,24;5.347,28;8912,00
376;Balsam c/Extr.de Calafate x400;3.357,00;4.061,97;6770,00
378;Champú p/Caspa Centella x200ml;5.432,82;6.573,71;10956,00
390;Baño de Crema Antiquiebre x115;2.504,98;3.031,02;5052,00
393;Mascar.Bio-Activ.c/Karite x100g;4.112,77;4.976,45;8294,00
394;Champú Bio-Activ.c/Mango y Karité;6.195,04;7.496,00;12493,00
398;Tratamiento P+T Graso Pla.x200;4.921,97;5.955,59;9926,00
399;Tratamiento P+T Seco Pla.x200;4.921,97;5.955,59;9926,00
406;Máscara Ultra Acondicionadora x24  de  20gr;15.873,13;19.206,48;1334,00
419;Gel Styling Suave Azul c/Bambú;2.372,70;2.870,97;4785,00
421;Gel Styling Rojo Fuerte;2.332,95;2.822,87;4705,00
436;Champú Semilla de Lino x 800ml;5.993,46;7.252,09;12087,00
443;Champú c/Bambú en Braile x400m;4.137,90;5.006,86;8345,00
444;Balsam c/Bambú en Braile x400m;3.535,39;4.277,82;7130,00
446;Loción con Cafeína Est.12x15ml;12.844,16;15.541,44;25902,00
447;Blister de Cafeína x 1 Unidad;1.419,02;1.717,02;2862,00
449;Champú p/Tratami.Alisado x400m;6.746,43;8.163,18;13605,00
451;Balsam p/Tratami.Alisado x400ml;6.689,67;8.094,50;13491,00
452;Crema de Tratam.c/Alisado x125g;4.819,81;5.831,97;9720,00
453;Champú p/ Futuras Mamás x 360 ml;4.508,43;5.455,20;9092,00
459;Shock de Kera.Oro-Caviar x12un;13.194,54;15.965,39;26609,00
461;Champú Super Especial 1053x800;7.785,73;9.420,74;15701,00
462;Desenredante para Pediculosis;4.952,08;5.992,02;9987,00
468;Champú Algas Concentrado x130;2.294,76;2.776,66;4628,00
469;Balsam Algas Conc.Doypackc x 40ml;2.400,17;2.904,21;4840,00
476;Champú Aceite de Jojoba x800ml;5.844,80;7.072,21;11787,00
479;Balsam con Ac.de Jojoba x800ml;6.149,75;7.441,19;12402,00
480;Pack Concentrado Algas X 2 Unidades;3.843,52;4.650,66;7751,00
489;Jabón Tocador 100%Vegano x90g;1.678,50;2.030,98;3385,00
490;Fijador Neutralizante x150ml;1.670,39;2.021,17;3369,00
491;Base Ondulación Amarilla x150ml;3.316,45;4.012,91;6688,00
492;Base Ondulación Rosa x150ml;3.397,54;4.111,02;6852,00
496;Baño de Crema 100% Vegano x125gr;2.645,52;3.201,08;5335,00
615;Puro Henna Natural Dorado x 80 gr;9.267,59;11.213,78;18690,00
616;Puro Henna Natural Castaño x 80 gr;9.267,59;11.213,78;18690,00
628;Ampollas P+T Exhibidor x 3uds;3.665,13;4.434,80;7391,00
637;Ampollas Potenc.1007 Exhibi.x3;3.155,93;3.818,68;6364,00
659;Shock de Kera.Oro-Caviar 3x10m;3.040,91;3.679,50;6133,00
695;Blister Ampolla Anti Age 3x10ml;3.429,98;4.150,27;6917,00
932;Estructurante 011 Exhib.X 3uds;3.105,61;3.757,79;6263,00
940;Estructurante 055 Exhib. X3uds;3.105,61;3.757,79;6263,00
